snapshot,rank,cluster_types,size,DebtMag,NormDebt,RankScore,CC_T,WMT_T,LCOT_T,CBT_T,RFT_T,ED_T,CY_T,tau_CC_T,tau_WMT_T,tau_LCOT_T,tau_CBT_T,tau_RFT_T,tau_ED_T,tau_CY_T,ex_CC_T,ex_WMT_T,ex_LCOT_T,ex_CBT_T,ex_RFT_T,ex_ED_T,ex_CY_T
NutriCompass_backup_20260207,1,"AnalysisController, AnalysisResultView, AppCompositionRoot, AppModel, AuditLogger, DefaultInteractionAnalysisService, HomeView, InMemoryEvidenceRepository, InMemorySupplementRepository, InMemoryUserLibraryRepository, Interaction, InteractionTaxonomy, LiteratureRetrievalModule, RootView, RouteHostView, SampleData, Supplement, UserSupplementLibraryStore",18,6.57142857142857,0.365079365079365,1.5489005683133896,1.1111111111111112,1.8333333333333333,-0.05555555555555555,3.111111111111111,1.2222222222222223,0.030187074829931975,0.0,10.0,20.0,0.0,1.25,1.0,0.03018707482993197,0.0,0.0,0.0,1.0,35.0,10.0,0.0,0.0
NutriCompass_backup_20260207,2,UIStringPolicyEnforcer,1,0.2857142857142857,0.2857142857142857,0.2857142857142857,4.0,4.0,0.0,1.0,3.0,0.03018707482993197,0.0,10.0,20.0,0.0,1.25,1.0,0.03018707482993197,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
NutriCompass_backup_20260207,3,"Citation, Evidence, EvidenceSourceType, StudyType",4,0.37560738581146746,0.09390184645286687,0.18780369290573373,0.0,0.0,0.0,0.75,0.0,0.25,0.0,10.0,20.0,0.0,1.25,1.0,0.03018707482993197,0.0,0.0,0.0,0.0,1.75,0.0,0.8792517006802721,0.0
NutriCompass_backup_20260207,4,ComparisonEngine,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,2.0,0.0,0.0,2.0,0.0,0.0,10.0,20.0,0.0,1.25,1.0,0.03018707482993197,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NutriCompass_backup_20260207,5,SecureStorage,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,2.0,0.0,1.0,2.0,0.03018707482993197,0.0,10.0,20.0,0.0,1.25,1.0,0.03018707482993197,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NutriCompass_backup_20260208,1,OCRIngredientScanner,1,12.107142857142858,12.107142857142858,12.107142857142858,3.909090909090909,43.0,51.0,2.0,11.0,0.02514124293785311,0.0,10.0,20.0,0.0,1.25,1.0,0.02514124293785311,0.0,0.0,23.0,51.0,0.75,10.0,0.0,0.0
NutriCompass_backup_20260208,2,"AnalysisController, AnalysisResultView, AppCompositionRoot, AppModel, AuditLogger, CoOccurrenceInlineViewModel, CoOccurrenceView, DSLDSearchIndex, DefaultInteractionAnalysisService, DownloadedDSLDStore, HomeView, InMemoryEvidenceRepository, InMemorySupplementRepository, InMemoryUserLibraryRepository, Interaction, InteractionTaxonomy, LiteratureRetrievalModule, RootView, RouteHostView, SampleData, Supplement, UserSupplementLibraryStore",22,11.035714285714288,0.5016233766233767,2.3528221912101297,1.2992424242424243,3.0454545454545454,-0.3181818181818182,3.1363636363636362,2.1363636363636362,0.025141242937853116,0.0,10.0,20.0,0.0,1.25,1.0,0.02514124293785311,0.0,0.0,0.0,1.0,44.25,32.0,0.0,0.0
NutriCompass_backup_20260208,3,"Coordinator, ImagePicker",2,3.0999596448748985,1.5499798224374493,2.1920024862956824,1.35,4.5,5.5,1.5,3.5,1.5,1.0,10.0,20.0,0.0,1.25,1.0,0.02514124293785311,0.0,0.0,0.0,11.0,0.75,5.0,2.949717514124294,2.0
NutriCompass_backup_20260208,4,PreloadedDSLDStore,1,0.6785714285714286,0.6785714285714286,0.6785714285714286,4.0,16.0,0.0,3.0,4.0,0.02514124293785311,0.0,10.0,20.0,0.0,1.25,1.0,0.02514124293785311,0.0,0.0,0.0,0.0,1.75,3.0,0.0,0.0
NutriCompass_backup_20260208,5,EmptyDSLDStore,1,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,3.0,0.0,1.0,3.0,0.02514124293785311,0.0,10.0,20.0,0.0,1.25,1.0,0.02514124293785311,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
